TransactionID,SaleDate,SaleTime,CafeName,Branch,CustomerID,ProductID,ProductName,Category,Quantity,UnitPrice_KES,Discount_Pct,TotalAmount_KES,PaymentMethod,StaffID,Rating
TXN-000440,2024-04-04,07:32,Artcafe,CBD,CUST-0099,PRD-020,Scone,Pastry,2,200,10,,M-PESA,STF-027,4
TXN-009282,2024-12-26,09:26,ArtCaffe,CBD,CUST-0081,PRD-028,Mango Juice,Juices,4,290,0,1160,Visa,STF-055,3
TXN-000102,2024-02-18,07:26,Art Café,Westside,CUST-0425,PRD-006,cold brew,Coffee,1,420,0,420,Cash,STF-048,1
TXN-001598,2024-08-29,21:02,Art Café,CBD,CUST-0497,PRD-007,Macchiato,Coffee,1,320,0,320,Visa,STF-013,4
TXN-008629,2024-08-09,19:56,Art Caffe,CBD,CUST-0323,PRD-007,Macchiato,Coffee,1,600,0,600,M-PESA,STF-055,5
TXN-000968,2024-10-15,09:00,Artcafe,CBD,CUST-0403,PRD-031,Chocolate Shake,Shakes,1,450,15,382.5,MPESA,STF-028,5
TXN-009620,2023-04-18,13:31,Art Caffe,CBD,CUST-0332,PRD-008,Mocha,Coffee,3,400,0,1200,visa,STF-010,5
TXN-004639,2024-02-07,,ArtCaffe,CBD,CUST-0419,PRD-016,Croissant,Pastry,2,280,0,560,Cash,STF-056,4
TXN-000304,2024-12-04,21:05,Art Caffe,CBD,CUST-0030,PRD-017,Blueberry Muffin,Pastry,2,250,20,400,Mastercard,STF-059,4
TXN-007285,2024-05-12,20:41,Art Caffe,CBD,CUST-0197,PRD-007,Macchiato,Coffee,1,320,0,320,Cash,STF-074,4
TXN-007128,2023-01-27,08:29,Art Caffe,CBD,CUST-0211,PRD-007,Macchiato,Coffee,1,320,10,288,M-PESA,STF-057,4
TXN-003795,2024-04-11,13:13,JAVA HOUSE,CBD,CUST-0404,PRD-004,Latte,Coffee,1,380,0,380,visa,STF-027,4
TXN-007817,2023-05-07,09:43,Java House,CBD,CUST-0022,PRD-018,Cinnamon Roll,Pastry,2,300,0,600,Visa,STF-047,4
TXN-004839,2024-08-16,20:50,ArtCaffe,Westside,CUST-0061,PRD-016,Croissant,Pastry,2,330,0,660,Cash,STF-056,2
TXN-006671,2023-12-13,,Java House,Tudor,CUST-0246,PRD-002,Americano,Coffee,3,280,0,840,M-PESA,STF-002,5
TXN-005606,2023-05-12,,ArtCaffe,CBD,CUST-0046,PRD-011,Masala Chai,Tea,4,200,0,800,Visa,STF-071,4
TXN-002329,2023-07-21,17:38,Art Caffe,Milimani,CUST-0172,PRD-014,Mint Tea,Tea,1,190,0,190,cash,STF-020,5
TXN-009064,2024-03-25,14:49,JAVA HOUSE,CBD,CUST-0187,PRD-011,Masala Chai,Tea,1,200,5,190,visa,STF-031,5
TXN-005654,2024-07-02,09:47,Art Caffe,CBD,CUST-0490,PRD-003,Cappuccino,Coffee,1,280,5,266,Cash,STF-005,5
TXN-002523,2024-03-22,22:30,Art Café,CBD,CUST-0383,PRD-028,mango juice,Juices,1,290,20,232,M-Pesa,STF-041,4
TXN-002233,2023-11-08,12:26,ArtCaffe,CBD,CUST-0473,PRD-024,Chicken Wrap,Food,1,600,0,600,Visa,STF-016,
TXN-007637,2024-06-11,13:14,JAVA HOUSE,CBD,,PRD-020,Scone,Pastry,3,200,0,600,M-PESA,STF-059,4
TXN-008930,2024-07-11,11:40,Art Caffe,CBD,CUST-0154,PRD-019,Banana Bread,Pastry,1,220,0,220,MPESA,STF-030,3
TXN-000566,2024-02-22,10:55,java house,CBD,CUST-0294,PRD-020,Scone,Pastry,2,200,0,400,M-PESA,STF-069,4
TXN-005441,2024-10-28,14:04,Artcafe,CBD,CUST-0208,PRD-024,Chicken Wrap,Food,1,600,0,600,MPESA,STF-038,4
TXN-008991,2024-05-27,11:03,JAVA HOUSE,CBD,CUST-0126,PRD-002,Americano,Coffee,5,280,20,1120,M-Pesa,STF-058,5
TXN-002345,2023-07-06,14:40,JAVA HOUSE,Westside,CUST-0410,PRD-017,Blueberry Muffin,Pastry,1,250,0,250,MPESA,STF-004,5
TXN-003743,2024-10-18,13:39,Java House,CBD,CUST-0015,PRD-027,Passion Fruit,Juices,3,280,5,798,M-PESA,STF-061,5
TXN-000425,2023-12-01,14:35,Art Caffe,Westside,CUST-0275,PRD-014,Mint Tea,Tea,1,190,0,190,CASH,STF-065,5
TXN-006995,2023-10-16,,Java House,CBD,CUST-0438,PRD-006,Cold Brew,Coffee,2,420,0,840,mpesa,STF-059,5
TXN-009969,2023-04-18,18:14,Art Caffe,Nyali,CUST-0144,PRD-013,Black Tea,Tea,1,160,15,136,CASH,STF-053,4
TXN-001246,2024-04-11,16:22,Art Caffe,CBD,CUST-0120,PRD-006,Cold Brew,Coffee,2,420,0,840,cash,STF-001,5
TXN-008061,2023-10-09,15:00,JAVA HOUSE,Westside,,PRD-018,Cinnamon Roll,Pastry,1,300,0,300,CASH,STF-018,5
TXN-004077,2024-08-22,22:44,Art Café,Tudor,CUST-0049,PRD-009,Iced Latte,Coffee,1,400,0,400,Visa,STF-053,4
TXN-006766,2023-07-18,16:03,ArtCaffe,CBD,CUST-0230,PRD-012,Green Tea,Tea,1,180,0,180,CASH,STF-062,5
TXN-009578,2024-11-16,21:59,Art Caffe,Tudor,CUST-0166,PRD-007,Macchiato,Coffee,1,320,0,320,Visa,STF-080,5
TXN-009471,2023-05-30,07:45,Java House,CBD,CUST-0365,PRD-001,Espresso,Coffee,2,250,0,500,M-Pesa,STF-069,4
TXN-008367,2024-01-16,15:14,JAVA HOUSE,CBD,CUST-0281,PRD-003,Cappuccino,Coffee,1,350,0,350,visa,STF-008,5
TXN-008202,2023-12-13,13:34,ArtCaffe,CBD,CUST-0370,PRD-024,Chicken Wrap,Food,1,600,0,600,visa,STF-074,5
TXN-008744,2023-01-21,09:48,Java House,CBD,CUST-0439,PRD-004,Latte,Coffee,1,380,0,380,CASH,STF-031,4
TXN-003667,2023-09-01,21:42,JAVA HOUSE,CBD,CUST-0489,PRD-026,Orange Juice,Juices,2,300,0,600,mpesa,STF-061,5
TXN-001689,2024-04-01,20:18,Art Caffe,CBD,CUST-0209,PRD-011,Masala Chai,Tea,2,200,5,380,cash,STF-014,5
TXN-007212,2024-01-29,,Art Café,CBD,CUST-0342,PRD-020,Scone,Pastry,1,200,0,200,mpesa,STF-005,3
TXN-001248,2024-01-10,07:47,Art Caffe,CBD,CUST-0143,PRD-031,Chocolate Shake,Shakes,2,450,0,900,Visa,STF-030,4
TXN-001209,2024-11-14,,ArtCaffe,Kilimani,CUST-0442,PRD-009,iced latte,Coffee,5,400,5,1900,MPESA,STF-063,4
TXN-004574,2024-04-01,20:27,Art Café,CBD,CUST-0102,PRD-017,Blueberry Muffin,Pastry,3,250,0%,750,mpesa,STF-035,3
TXN-002841,2023-11-16,,Java House,Westside,CUST-0209,PRD-027,Passion Fruit,Juices,2,280,5,532,MPESA,STF-038,5
TXN-001251,2024-06-26,18:21,ArtCaffe,CBD,CUST-0438,PRD-013,Black Tea,Tea,1,250,0%,250,cash,STF-051,4
TXN-010165,2023-09-02,17:25,Java House,CBD,CUST-0489,PRD-011,Masala Chai,Tea,1,200,15,170,MPESA,STF-004,4
TXN-008535,2023-10-07,08:24,ArtCaffe,Westside,CUST-0259,PRD-003,cappuccino,Coffee,3,350,0,1050,MPESA,STF-048,5
TXN-001808,2023-06-28,16:27,Artcafe,CBD,CUST-0179,PRD-027,Passion Fruit,Juices,4,280,5,1064,CASH,STF-020,1
TXN-004801,2024-04-26,19:14,java house,CBD,CUST-0058,PRD-027,Passion Fruit,Juices,1,280,0,280,cash,STF-067,5
TXN-005922,2023-02-26,07:53,Java House,CBD,CUST-0409,PRD-004,Latte,Coffee,1,380,15,323,M-Pesa,STF-005,5
TXN-001787,2023-01-07,10:48,Java House,CBD,CUST-0403,PRD-006,Cold Brew,Coffee,1,420,0%,420,M-Pesa,STF-005,3
TXN-006823,2024-03-15,09:42,java house,Westside,CUST-0015,PRD-030,Green Smoothie,Juices,1,350,0,350,Cash,STF-017,4
TXN-008354,2024-08-29,12:37,java house,CBD,CUST-0305,PRD-017,Blueberry Muffin,Pastry,3,250,0,750,M-PESA,STF-025,4
TXN-003315,2023-11-12,21:27,Art Café,Tudor,CUST-0047,PRD-029,Watermelon Juice,Juices,2,260,20,416,Visa,STF-057,4
TXN-010322,2023-08-11,06:07,Art Caffe,CBD,CUST-0416,PRD-028,Mango Juice,Juices,2,290,10,522,mpesa,STF-073,5
TXN-009633,2024-04-01,20:45,Art Caffe,CBD,CUST-0351,PRD-001,Espresso,Coffee,5,370,15,1572.5,visa,STF-062,5
TXN-009454,2023-07-31,14:17,Artcafe,CBD,CUST-0109,PRD-006,Cold Brew,Coffee,3,420,0,1260,M-PESA,STF-076,4
TXN-006106,2023-09-01,,ArtCaffe,CBD,CUST-0126,PRD-001,Espresso,Coffee,1,250,0,250,MPESA,STF-074,5
TXN-001922,2024-04-17,11:05,Artcafe,CBD,CUST-0460,PRD-023,Avocado Toast,Food,1,580,0,580,mpesa,STF-035,5
TXN-006757,2023-05-21,21:33,Art Caffe,CBD,CUST-0195,PRD-017,Blueberry Muffin,Pastry,2,250,5,475,Cash,STF-034,1
TXN-006536,2024-06-04,17:37,Java House,CBD,,PRD-011,Masala Chai,Tea,1,200,10,180,CASH,STF-034,4
TXN-006804,2023-12-13,19:22,ArtCaffe,CBD,CUST-0342,PRD-001,Espresso,Coffee,1,250,0,250,CASH,STF-015,5
TXN-001331,2024-04-19,07:16,Art Caffe,CBD,,PRD-025,Caesar Salad,Food,2,550,10,990,Mastercard,STF-042,5
TXN-003932,2023-11-21,21:54,Art Caffe,Westside,CUST-0110,PRD-012,Green Tea,Tea,2,180,0,360,mpesa,STF-028,3
TXN-001433,2023-11-01,07:20,Art Café,Tudor,CUST-0036,PRD-004,Latte,Coffee,2,380,0,,M-PESA,STF-028,4
TXN-007445,2023-08-02,18:05,java house,CBD,CUST-0335,PRD-026,Orange Juice,Juices,2,300,0,600,Cash,STF-076,4
TXN-001112,2024-06-28,11:02,Java House,CBD,CUST-0259,PRD-017,Blueberry Muffin,Pastry,5,250,0,1250,Visa,STF-057,5
TXN-010037,2024-12-31,21:05,Java House,CBD,CUST-0428,PRD-001,Espresso,Coffee,1,250,0,250,cash,STF-078,2
TXN-008296,2023-03-13,07:48,Art Caffe,CBD,CUST-0052,PRD-007,Macchiato,Coffee,3,320,0%,960,M-PESA,STF-030,4
TXN-005126,2023-07-12,09:11,java house,CBD,CUST-0314,PRD-027,Passion Fruit,Juices,1,280,0,280,visa,STF-078,4
TXN-004846,2024-10-03,08:30,Art Caffe,CBD,,PRD-019,Banana Bread,Pastry,1,220,15,187,mpesa,STF-073,5
TXN-001113,2023-08-23,20:12,Artcafe,CBD,CUST-0247,PRD-029,Watermelon Juice,Juices,2,260,0,520,Mastercard,STF-016,2
TXN-005581,2024-08-27,10:34,ArtCaffe,CBD,CUST-0397,PRD-016,Croissant,Pastry,1,280,0,280,cash,STF-074,2
TXN-004068,2023-04-02,16:22,java house,CBD,CUST-0438,PRD-012,Green Tea,Tea,1,180,20,144,Visa,STF-059,4
TXN-000319,2023-04-19,08:26,ArtCaffe,Nyali,,PRD-031,Chocolate Shake,Shakes,1,450,10,405,Visa,STF-011,4
TXN-001878,2023-10-23,11:27,Java House,CBD,CUST-0223,PRD-022,Eggs Benedict,Food,2,750,20,1200,MPESA,STF-078,5
TXN-010452,2023-07-13,06:47,Artcafe,CBD,CUST-0052,PRD-019,Banana Bread,Pastry,5,220,0,1100,Visa,STF-035,3
TXN-008036,2023-11-14,21:50,Artcafe,CBD,CUST-0258,PRD-001,Espresso,Coffee,1,250,0,250,visa,STF-024,5
TXN-005385,2023-10-04,21:21,JAVA HOUSE,CBD,CUST-0263,PRD-008,Mocha,Coffee,4,400,0,1600,M-PESA,STF-029,5
TXN-000036,2024-04-19,19:36,Artcafe,CBD,CUST-0414,PRD-011,Masala Chai,Tea,4,200,15,680,CASH,STF-036,3
TXN-008732,2023-02-26,12:51,Java House,CBD,CUST-0127,PRD-006,Cold Brew,Coffee,2,420,0,840,mpesa,STF-072,4
TXN-006728,2024-11-08,11:34,Java House,CBD,CUST-0421,PRD-025,Caesar Salad,Food,2,550,0,1100,cash,STF-050,4
TXN-006622,2024-10-08,10:16,ArtCaffe,CBD,CUST-0071,PRD-020,Scone,Pastry,1,200,0,200,M-PESA,STF-021,4
TXN-000040,2023-02-01,11:23,Artcafe,Milimani,,PRD-006,Cold Brew,Coffee,1,420,15,357,visa,STF-075,5
TXN-003308,2024-01-26,18:32,ArtCaffe,Westside,CUST-0423,PRD-006,Cold Brew,Coffee,2,420,0,840,Cash,STF-050,5
TXN-010401,2024-03-03,16:03,Art Caffe,CBD,CUST-0203,PRD-018,Cinnamon Roll,Pastry,3,300,0,900,Visa,STF-007,4
TXN-006867,2024-04-23,14:21,Art Caffe,Kilimani,CUST-0139,PRD-019,Banana Bread,Pastry,1,220,0,220,M-PESA,STF-009,4
TXN-001285,2024-12-30,09:05,Java House,WESTSIDE,CUST-0328,PRD-029,Watermelon Juice,Juices,1,260,0,,Cash,STF-011,5
TXN-010294,2023-08-01,08:47,Art Caffe,CBD,CUST-0120,PRD-018,Cinnamon Roll,Pastry,1,300,0,300,Mastercard,STF-042,5
TXN-009280,2023-03-15,,Art Caffe,Kilimani,CUST-0392,PRD-031,Chocolate Shake,Shakes,1,450,0,450,visa,STF-007,5
TXN-000953,2023-02-07,21:51,Art Caffe,CBD,CUST-0385,PRD-009,Iced Latte,Coffee,2,400,0,800,Visa,STF-056,4
TXN-005479,2024-06-07,21:08,Art Caffe,CBD,CUST-0265,PRD-009,Iced Latte,Coffee,2,400,0,800,Cash,STF-005,2
TXN-010492,2023-02-17,07:22,JAVA HOUSE,CBD,CUST-0319,PRD-029,Watermelon Juice,Juices,1,260,0,260,M-PESA,STF-039,4
TXN-004866,2023-11-26,21:14,JAVA HOUSE,CBD,CUST-0119,PRD-032,Vanilla Shake,Shakes,1,420,5,399,CASH,STF-039,
TXN-000652,2023-07-09,10:02,JAVA HOUSE,CBD,CUST-0301,PRD-004,Latte,Coffee,1,380,5,361,Cash,STF-078,2
TXN-000564,2024-07-28,07:21,ArtCaffe,CBD,CUST-0416,PRD-022,Eggs Benedict,Food,1,750,0,750,MPESA,STF-021,3
TXN-002837,2024-06-07,06:39,java house,CBD,CUST-0268,PRD-021,Club Sandwich,Food,1,650,0,650,Visa,STF-033,2
TXN-008859,2023-10-22,13:06,Java House,CBD,CUST-0117,PRD-007,Macchiato,Coffee,1,320,0,320,visa,STF-049,5
TXN-003230,2024-12-03,08:51,Art Caffe,CBD,CUST-0303,PRD-025,Caesar Salad,Food,1,550,0,550,MPESA,STF-027,5
TXN-008740,2023-03-24,14:30,Artcafe,Milimani,CUST-0401,PRD-013,Black Tea,Tea,1,160,5,152,M-Pesa,STF-052,4
TXN-005285,2023-01-05,17:15,Java House,CBD,CUST-0486,PRD-024,Chicken Wrap,Food,1,600,0,600,cash,STF-013,3
TXN-009784,2023-04-26,07:31,Java House,Nyali,CUST-0350,PRD-023,Avocado Toast,Food,3,580,0,1740,mpesa,STF-007,
TXN-003015,2023-04-26,17:05,ArtCaffe,CBD,CUST-0385,PRD-031,Chocolate Shake,SHAKES,1,450,0,450,CASH,STF-075,5
TXN-005614,2024-08-15,06:52,Java House,CBD,CUST-0242,PRD-004,Latte,Coffee,2,240,0,480,MPESA,STF-002,5
TXN-005841,2024-04-12,17:56,Art Café,CBD,CUST-0408,PRD-002,Americano,Coffee,1,280,10,252,Cash,STF-056,2
TXN-005004,2024-10-04,10:53,Java House,CBD,CUST-0485,PRD-010,Lungo,Coffee,1,270,5,256.5,M-PESA,STF-069,3
TXN-000583,2024-08-27,14:57,Java House,Milimani,CUST-0074,PRD-017,Blueberry Muffin,Pastry,1,250,0,250,Mastercard,STF-014,4
TXN-008024,2024-09-02,12:12,Art Caffe,Tudor,CUST-0292,PRD-018,Cinnamon Roll,Pastry,4,300,0,1200,Cash,STF-061,
TXN-002575,2024-02-15,19:16,Java House,CBD,CUST-0474,PRD-001,espresso,Coffee,2,250,5,475,mpesa,STF-003,4
TXN-007119,2024-09-11,,JAVA HOUSE,Kilimani,CUST-0382,PRD-024,Chicken Wrap,Food,1,600,0,600,MPESA,STF-061,4
TXN-002185,2024-03-12,14:02,Art Caffe,CBD,CUST-0349,PRD-020,Scone,Pastry,1,200,0,200,M-PESA,STF-050,4
TXN-008313,2024-03-06,11:04,Java House,Nyali,CUST-0437,PRD-010,Lungo,Coffee,3,270,10,729,cash,STF-056,4
TXN-008405,2023-04-05,06:28,java house,Nyali,CUST-0253,PRD-017,Blueberry Muffin,Pastry,1,250,10,225,Visa,STF-003,4
TXN-002583,2023-11-12,21:51,Artcafe,CBD,,PRD-031,Chocolate Shake,Shakes,1,450,0,450,cash,STF-018,5
TXN-001023,25/07/2024,16:00,Art Caffe,Nyali,CUST-0014,PRD-003,Cappuccino,COFFEE,5,350,0,1750,M-Pesa,STF-017,5
TXN-008125,2024-06-10,20:22,Art Café,Milimani,CUST-0240,PRD-005,Flat White,Coffee,1,360,0,360,M-Pesa,STF-036,4
TXN-002603,2023-11-27,12:33,ArtCaffe,CBD,CUST-0312,PRD-012,Green Tea,Tea,1,180,0,,cash,STF-004,5
TXN-008385,2024-07-28,14:27,Art Caffe,Westlands,CUST-0139,PRD-007,Macchiato,Coffee,1,320,0,320,cash,STF-075,
TXN-004404,2024-05-26,21:22,Java House,Tudor,CUST-0292,PRD-013,Black Tea,Tea,1,160,0,160,M-Pesa,STF-016,4
TXN-000368,2024-11-08,10:14,Java House,CBD,,PRD-007,Macchiato,COFFEE,1,320,0,320,Visa,STF-006,4
TXN-009379,2024-02-07,12:25,JAVA HOUSE,CBD,CUST-0066,PRD-024,Chicken Wrap,Food,1,600,0,600,mpesa,STF-041,4
TXN-008557,2023-09-17,22:26,Java House,CBD,CUST-0120,PRD-015,Chamomile,Tea,2,200,0,400,CASH,STF-053,5
TXN-002948,2023-01-21,16:56,Art Café,CBD,CUST-0243,PRD-016,Croissant,Pastry,1,280,15,238,mpesa,STF-020,4
TXN-009261,2024-05-07,11:47,Artcafe,CBD,CUST-0350,PRD-006,Cold Brew,Coffee,1,420,0,420,cash,STF-066,4
TXN-001651,2024-05-21,18:22,Artcafe,CBD,CUST-0093,PRD-003,Cappuccino,Coffee,-1,350,0,350,cash,STF-060,4
TXN-001596,2023-10-23,17:20,Java House,CBD,CUST-0168,PRD-005,Flat White,Coffee,3,360,5,1026,Visa,STF-037,5
TXN-007829,2024-08-27,13:17,java house,CBD,CUST-0184,PRD-018,Cinnamon Roll,Pastry,1,300,0,300,MPESA,STF-007,5
TXN-005198,2024-01-01,12:20,Artcafe,CBD,CUST-0375,PRD-011,Masala Chai,Tea,1,200,0,200,MPESA,STF-062,5
TXN-004783,2023-10-12,19:30,Art Caffe,CBD,CUST-0021,PRD-005,Flat White,Coffee,1,360,0,360,visa,STF-062,4
TXN-006770,2024-01-07,12:46,Artcafe,CBD,CUST-0043,PRD-013,Black Tea,Tea,1,160,0,160,Mastercard,STF-049,5
TXN-004721,2024-06-27,22:52,ArtCaffe,CBD,CUST-0300,PRD-019,banana bread,Pastry,1,220,0,220,mpesa,STF-001,4
TXN-005493,2023-09-02,15:56,ArtCaffe,CBD,CUST-0213,PRD-030,Green Smoothie,Juices,-1,350,0,350,Mastercard,STF-077,5
TXN-001776,2023-07-28,20:10,Artcafe,CBD,CUST-0182,PRD-006,Cold Brew,Coffee,1,420,0,420,Visa,STF-064,4
TXN-007866,2023-01-26,16:00,Java House,CBD,,PRD-020,Scone,Pastry,-1,200,5,190,Visa,STF-053,4
TXN-009795,2024-04-30,12:25,Artcafe,CBD,CUST-0066,PRD-016,Croissant,Pastry,1,280,15,238,M-PESA,STF-028,4
TXN-000938,2024-05-17,08:08,Art Café,CBD,CUST-0265,PRD-013,Black Tea,Tea,4,160,0,640,Mastercard,STF-039,1
TXN-010226,2024-10-26,08:11,Art Caffe,CBD,CUST-0416,PRD-027,Passion Fruit,Juices,1,280,5,266,cash,STF-023,4
